subject_id,frame_paths,n_frames,metadata,ra,dec
1904879,"['data/backyard_worlds/subjects_examined/subject_1904879/frame_00.jpg', 'data/backyard_worlds/subjects_examined/subject_1904879/frame_01.jpg', 'data/backyard_worlds/subjects_examined/subject_1904879/frame_02.jpg', 'data/backyard_worlds/subjects_examined/subject_1904879/frame_03.jpg']",4,"{'id': '001', 'Xdate': '11-02-16', 'image1': 'img1-a.jpg', 'image2': 'img1-b.jpg', 'image3': 'img1-c.jpg', 'image4': 'img1-d.jpg', 'telescope': 'Kitt Peak'}",,
1904882,"['data/backyard_worlds/subjects_examined/subject_1904882/frame_00.jpg', 'data/backyard_worlds/subjects_examined/subject_1904882/frame_01.jpg', 'data/backyard_worlds/subjects_examined/subject_1904882/frame_02.jpg', 'data/backyard_worlds/subjects_examined/subject_1904882/frame_03.jpg']",4,"{'id': '002', 'Xdate': '11-03-16', 'image1': 'img2-a.jpg', 'image2': 'img2-b.jpg', 'image3': 'img2-c.jpg', 'image4': 'img2-d.jpg', 'telescope': 'Kitt Peak'}",,
3855025,"['data/backyard_worlds/subjects_examined/subject_3855025/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855025/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855025/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855025/frame_03.png']",4,"{'id': '1', 'image0': 'unwise-1342m076.0.0.0.png', 'image1': 'unwise-1342m076.0.0.1.png', 'image2': 'unwise-1342m076.0.0.2.png', 'image3': 'unwise-1342m076.0.0.3.png'}",,
3855026,"['data/backyard_worlds/subjects_examined/subject_3855026/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855026/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855026/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855026/frame_03.png']",4,"{'id': '2', 'image0': 'unwise-1342m076.0.1.0.png', 'image1': 'unwise-1342m076.0.1.1.png', 'image2': 'unwise-1342m076.0.1.2.png', 'image3': 'unwise-1342m076.0.1.3.png'}",,
3855027,"['data/backyard_worlds/subjects_examined/subject_3855027/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855027/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855027/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855027/frame_03.png']",4,"{'id': '3', 'image0': 'unwise-1342m076.0.2.0.png', 'image1': 'unwise-1342m076.0.2.1.png', 'image2': 'unwise-1342m076.0.2.2.png', 'image3': 'unwise-1342m076.0.2.3.png'}",,
3855028,"['data/backyard_worlds/subjects_examined/subject_3855028/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855028/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855028/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855028/frame_03.png']",4,"{'id': '4', 'image0': 'unwise-1342m076.0.3.0.png', 'image1': 'unwise-1342m076.0.3.1.png', 'image2': 'unwise-1342m076.0.3.2.png', 'image3': 'unwise-1342m076.0.3.3.png'}",,
3855029,"['data/backyard_worlds/subjects_examined/subject_3855029/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855029/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855029/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855029/frame_03.png']",4,"{'id': '5', 'image0': 'unwise-1342m076.0.4.0.png', 'image1': 'unwise-1342m076.0.4.1.png', 'image2': 'unwise-1342m076.0.4.2.png', 'image3': 'unwise-1342m076.0.4.3.png'}",,
3855030,"['data/backyard_worlds/subjects_examined/subject_3855030/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855030/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855030/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855030/frame_03.png']",4,"{'id': '6', 'image0': 'unwise-1342m076.0.5.0.png', 'image1': 'unwise-1342m076.0.5.1.png', 'image2': 'unwise-1342m076.0.5.2.png', 'image3': 'unwise-1342m076.0.5.3.png'}",,
3855031,"['data/backyard_worlds/subjects_examined/subject_3855031/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855031/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855031/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855031/frame_03.png']",4,"{'id': '7', 'image0': 'unwise-1342m076.0.6.0.png', 'image1': 'unwise-1342m076.0.6.1.png', 'image2': 'unwise-1342m076.0.6.2.png', 'image3': 'unwise-1342m076.0.6.3.png'}",,
3855032,"['data/backyard_worlds/subjects_examined/subject_3855032/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855032/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855032/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855032/frame_03.png']",4,"{'id': '8', 'image0': 'unwise-1342m076.0.7.0.png', 'image1': 'unwise-1342m076.0.7.1.png', 'image2': 'unwise-1342m076.0.7.2.png', 'image3': 'unwise-1342m076.0.7.3.png'}",,
3855033,"['data/backyard_worlds/subjects_examined/subject_3855033/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855033/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855033/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855033/frame_03.png']",4,"{'id': '9', 'image0': 'unwise-1342m076.1.0.0.png', 'image1': 'unwise-1342m076.1.0.1.png', 'image2': 'unwise-1342m076.1.0.2.png', 'image3': 'unwise-1342m076.1.0.3.png'}",,
3855034,"['data/backyard_worlds/subjects_examined/subject_3855034/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855034/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855034/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855034/frame_03.png']",4,"{'id': '10', 'image0': 'unwise-1342m076.1.1.0.png', 'image1': 'unwise-1342m076.1.1.1.png', 'image2': 'unwise-1342m076.1.1.2.png', 'image3': 'unwise-1342m076.1.1.3.png'}",,
