subject_id,frame_paths,n_frames,metadata,ra,dec
87091554,"['data/backyard_worlds/subject_87091554/frame_00.jpg', 'data/backyard_worlds/subject_87091554/frame_01.jpg', 'data/backyard_worlds/subject_87091554/frame_02.jpg', 'data/backyard_worlds/subject_87091554/frame_03.jpg']",4,"{'id': ' 0', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.68524955+-2.1990806&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.68524955+-2.1990806', 'image0': 'runwise-0000m016.x0.y0.e0.jpeg', 'image1': 'runwise-0000m016.x0.y0.e1.jpeg', 'image2': 'runwise-0000m016.x0.y0.e2.jpeg', 'image3': 'runwise-0000m016.x0.y0.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.68524955&dec=-2.1990806&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.68524955&dec=-2.1990806&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.68524955 dec= -2.1990806', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.68524955+-2.1990806&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '7672, 71, 1, 8, 7743, 7673, 79, 9, 7664, 70', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541748,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/27006074', '!Original Talk Pages of Nearest Subtiles': 'Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541850, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541751, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541774, Not Uploaded, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541858, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541775, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541849'}",,
87091555,"['data/backyard_worlds/subject_87091555/frame_00.jpg', 'data/backyard_worlds/subject_87091555/frame_01.jpg', 'data/backyard_worlds/subject_87091555/frame_02.jpg', 'data/backyard_worlds/subject_87091555/frame_03.jpg']",4,"{'id': ' 2', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.68512588+-1.8080275&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.68512588+-1.8080275', 'image0': 'runwise-0000m016.x0.y2.e0.jpeg', 'image1': 'runwise-0000m016.x0.y2.e1.jpeg', 'image2': 'runwise-0000m016.x0.y2.e2.jpeg', 'image3': 'runwise-0000m016.x0.y2.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.68512588&dec=-1.8080275&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.68512588&dec=-1.8080275&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.68512588 dec= -1.8080275', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.68512588+-1.8080275&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '7674, 10, 1, 3, 7673, 7675, 11, 9, 7666, 7665', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309576,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541755', '!Original Talk Pages of Nearest Subtiles': 'Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541777, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541751, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541758, Not Uploaded, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541780, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541775, Not Uploaded, Not Uploaded'}",,
87091556,"['data/backyard_worlds/subject_87091556/frame_00.jpg', 'data/backyard_worlds/subject_87091556/frame_01.jpg', 'data/backyard_worlds/subject_87091556/frame_02.jpg', 'data/backyard_worlds/subject_87091556/frame_03.jpg']",4,"{'id': ' 1', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.68518771+-2.0035598&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.68518771+-2.0035598', 'image0': 'runwise-0000m016.x0.y1.e0.jpeg', 'image1': 'runwise-0000m016.x0.y1.e1.jpeg', 'image2': 'runwise-0000m016.x0.y1.e2.jpeg', 'image3': 'runwise-0000m016.x0.y1.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.68518771&dec=-2.0035598&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.68518771&dec=-2.0035598&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.68518771 dec= -2.0035598', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.68518771+-2.0035598&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '7673, 0, 9, 2, 7672, 7674, 10, 8, 7665, 71', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309575,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4552258', '!Original Talk Pages of Nearest Subtiles': 'Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541748, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541775, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541755, Not Uploaded, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541777, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541774, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541850'}",,
87091557,"['data/backyard_worlds/subject_87091557/frame_00.jpg', 'data/backyard_worlds/subject_87091557/frame_01.jpg', 'data/backyard_worlds/subject_87091557/frame_02.jpg', 'data/backyard_worlds/subject_87091557/frame_03.jpg']",4,"{'id': ' 4', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.68500225+-1.4169470&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.68500225+-1.4169470', 'image0': 'runwise-0000m016.x0.y4.e0.jpeg', 'image1': 'runwise-0000m016.x0.y4.e1.jpeg', 'image2': 'runwise-0000m016.x0.y4.e2.jpeg', 'image3': 'runwise-0000m016.x0.y4.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.68500225&dec=-1.4169470&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.68500225&dec=-1.4169470&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.68500225 dec= -1.4169470', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.68500225+-1.4169470&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '7676, 12, 5, 3, 7675, 7677, 11, 13, 7668, 6', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309578,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541761', '!Original Talk Pages of Nearest Subtiles': 'Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541783, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541765, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541758, Not Uploaded, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541780, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541786, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541768'}",,
87091558,"['data/backyard_worlds/subject_87091558/frame_00.jpg', 'data/backyard_worlds/subject_87091558/frame_01.jpg', 'data/backyard_worlds/subject_87091558/frame_02.jpg', 'data/backyard_worlds/subject_87091558/frame_03.jpg']",4,"{'id': ' 3', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.68506406+-1.6124884&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.68506406+-1.6124884', 'image0': 'runwise-0000m016.x0.y3.e0.jpeg', 'image1': 'runwise-0000m016.x0.y3.e1.jpeg', 'image2': 'runwise-0000m016.x0.y3.e2.jpeg', 'image3': 'runwise-0000m016.x0.y3.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.68506406&dec=-1.6124884&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.68506406&dec=-1.6124884&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.68506406 dec= -1.6124884', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.68506406+-1.6124884&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '7675, 11, 2, 4, 7674, 7676, 12, 10, 7667, 1', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309577,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541758', '!Original Talk Pages of Nearest Subtiles': 'Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541780, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541755, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541761, Not Uploaded, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541783, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541777, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541751'}",,
87091559,"['data/backyard_worlds/subject_87091559/frame_00.jpg', 'data/backyard_worlds/subject_87091559/frame_01.jpg', 'data/backyard_worlds/subject_87091559/frame_02.jpg', 'data/backyard_worlds/subject_87091559/frame_03.jpg']",4,"{'id': ' 5', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.68494045+-1.2214079&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.68494045+-1.2214079', 'image0': 'runwise-0000m016.x0.y5.e0.jpeg', 'image1': 'runwise-0000m016.x0.y5.e1.jpeg', 'image2': 'runwise-0000m016.x0.y5.e2.jpeg', 'image3': 'runwise-0000m016.x0.y5.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.68494045&dec=-1.2214079&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.68494045&dec=-1.2214079&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.68494045 dec= -1.2214079', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.68494045+-1.2214079&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '7677, 13, 6, 4, 7676, 7678, 12, 14, 7669, 7', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309579,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541765', '!Original Talk Pages of Nearest Subtiles': 'Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541786, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541768, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541761, Not Uploaded, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541783, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541789, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541772'}",,
87091561,"['data/backyard_worlds/subject_87091561/frame_00.jpg', 'data/backyard_worlds/subject_87091561/frame_01.jpg', 'data/backyard_worlds/subject_87091561/frame_02.jpg', 'data/backyard_worlds/subject_87091561/frame_03.jpg']",4,"{'id': ' 7', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.68481689+-0.83035470&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.68481689+-0.83035470', 'image0': 'runwise-0000m016.x0.y7.e0.jpeg', 'image1': 'runwise-0000m016.x0.y7.e1.jpeg', 'image2': 'runwise-0000m016.x0.y7.e2.jpeg', 'image3': 'runwise-0000m016.x0.y7.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.68481689&dec=-0.83035470&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.68481689&dec=-0.83035470&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.68481689 dec= -0.83035470', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.68481689+-0.83035470&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '7679, 3776, 15, 6, 8440, 7678, 3784, 14, 7671, 3777', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309581,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541772', '!Original Talk Pages of Nearest Subtiles': 'Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6552555, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541792, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541768, Not Uploaded, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6552563, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541789, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6552556'}",,
87091562,"['data/backyard_worlds/subject_87091562/frame_00.jpg', 'data/backyard_worlds/subject_87091562/frame_01.jpg', 'data/backyard_worlds/subject_87091562/frame_02.jpg', 'data/backyard_worlds/subject_87091562/frame_03.jpg']",4,"{'id': ' 8', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.48958459+-2.1991576&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.48958459+-2.1991576', 'image0': 'runwise-0000m016.x1.y0.e0.jpeg', 'image1': 'runwise-0000m016.x1.y0.e1.jpeg', 'image2': 'runwise-0000m016.x1.y0.e2.jpeg', 'image3': 'runwise-0000m016.x1.y0.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.48958459&dec=-2.1991576&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.48958459&dec=-2.1991576&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.48958459 dec= -2.1991576', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.48958459+-2.1991576&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '79, 0, 9, 16, 71, 87, 17, 1, 7672, 78', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309582,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541774', '!Original Talk Pages of Nearest Subtiles': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541858, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541748, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541775, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541795, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541850, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541866, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541796, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541751, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541857'}",,
87091563,"['data/backyard_worlds/subject_87091563/frame_00.jpg', 'data/backyard_worlds/subject_87091563/frame_01.jpg', 'data/backyard_worlds/subject_87091563/frame_02.jpg', 'data/backyard_worlds/subject_87091563/frame_03.jpg']",4,"{'id': ' 9', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.48954040+-2.0036299&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.48954040+-2.0036299', 'image0': 'runwise-0000m016.x1.y1.e0.jpeg', 'image1': 'runwise-0000m016.x1.y1.e1.jpeg', 'image2': 'runwise-0000m016.x1.y1.e2.jpeg', 'image3': 'runwise-0000m016.x1.y1.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.48954040&dec=-2.0036299&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.48954040&dec=-2.0036299&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.48954040 dec= -2.0036299', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.48954040+-2.0036299&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '1, 8, 10, 17, 0, 18, 2, 16, 7673, 79', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309583,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541775', '!Original Talk Pages of Nearest Subtiles': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541751, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541774, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541777, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541796, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541748, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541797, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541755, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541795, Not Uploaded, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541858'}",,
87091565,"['data/backyard_worlds/subject_87091565/frame_00.jpg', 'data/backyard_worlds/subject_87091565/frame_01.jpg', 'data/backyard_worlds/subject_87091565/frame_02.jpg', 'data/backyard_worlds/subject_87091565/frame_03.jpg']",4,"{'id': ' 11', 'SIMBAD': 'http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=0.48945206+-1.6125448&Radius=498&Radius.unit=arcsec', 'VizieR': 'http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=&-out.add=_r&-out.add=_RAJ%2C_DEJ&-sort=_r&-to=&-out.max=20&-meta.ucd=2&-meta.foot=1&-c.rs=498&-c=0.48945206+-1.6125448', 'image0': 'runwise-0000m016.x1.y3.e0.jpeg', 'image1': 'runwise-0000m016.x1.y3.e1.jpeg', 'image2': 'runwise-0000m016.x1.y3.e2.jpeg', 'image3': 'runwise-0000m016.x1.y3.e3.jpeg', 'WISEVIEW': 'http://byw.tools/wiseview#ra=0.48945206&dec=-1.6125448&size=704&band=3&speed=125&minbright=-15&maxbright=120&linear=1&color=gray&mode=fixed&coadd_mode=window-1.0-year&zoom=2&border=0', 'Tile Number': ' 0', 'Legacy Surveys': 'http://legacysurvey.org/viewer?ra=0.48945206&dec=-1.6125448&zoom=13&layer=unwise-neo4', 'Subtile Center': 'R.A.= 0.48945206 dec= -1.6125448', 'IRSA Finder Chart': 'https://irsa.ipac.caltech.edu/applications/finderchart/servlet/api?mode=getResult&subsetsize=11.7333&locstr=0.48945206+-1.6125448&survey=DSS%2CSDSS%2C2MASS%2CSEIP%2CWISE', 'id Numbers of Nearest Subtiles': '3, 19, 10, 12, 2, 4, 20, 18, 7675, 7674', '!Old Talk Pages for This Subtile': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/4309585,https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541780', '!Original Talk Pages of Nearest Subtiles': 'https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541758, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541798, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541777, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541783, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541755, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541761, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541799, https://www.zooniverse.org/projects/marckuchner/backyard-worlds-planet-9/talk/subjects/6541797, Not Uploaded, Not Uploaded'}",,
